City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Upernavik,100,GL,1587333226,88,72.79,-56.15,23.95,18.52
Dunedin,50,NZ,1587333439,60,-45.87,170.5,48.78,10.11
Caohai,66,CN,1587333509,49,26.87,104.28,53.1,1.9
Yellowknife,20,CA,1587333426,53,62.46,-114.35,26.6,21.92
Kiryat Gat,1,IL,1587333509,14,31.61,34.76,68.0,11.36
Puerto Ayora,40,EC,1587333303,66,-0.74,-90.35,86.0,14.99
Celestún,46,MX,1587333509,49,20.87,-90.4,90.34,9.73
Rodrigues Alves,0,BR,1587333510,41,-7.74,-72.65,87.6,2.33
Puerto Escondido,5,MX,1587333510,74,15.85,-97.07,87.8,9.17
Ust-Nera,92,RU,1587333510,78,64.57,143.2,0.93,3.24
Rikitea,100,PF,1587333223,68,-23.12,-134.97,76.87,6.96
Sangar,19,RU,1587333510,85,63.92,127.47,7.16,0.38
Mataura,95,NZ,1587333467,79,-46.19,168.86,48.99,5.99
San Jerónimo,59,PE,1587333510,22,-11.95,-75.28,56.5,6.04
Albany,81,US,1587333302,29,42.6,-73.97,63.0,5.01
Mahon,100,ES,1587333511,100,39.89,4.27,60.8,8.05
Marabba,29,SD,1587333511,14,12.35,32.18,81.21,5.68
Coquimbo,75,CL,1587333511,87,-29.95,-71.34,60.8,9.17
Jamestown,90,US,1587333511,65,42.1,-79.24,46.99,20.8
Bluff,85,NZ,1587333511,79,-46.6,168.33,48.99,5.99
Kaitangata,85,NZ,1587333213,52,-46.28,169.85,52.0,8.99
Nhulunbuy,0,AU,1587333317,79,-12.23,136.77,81.72,8.3
Manggar,43,ID,1587333512,78,-2.88,108.27,81.19,1.41
Atuona,48,PF,1587333212,74,-9.8,-139.03,82.96,16.98
Kapaa,20,US,1587333512,65,22.08,-159.32,78.8,11.41
Abhā,92,SA,1587333512,72,18.22,42.51,66.2,1.19
Lorengau,40,PG,1587333512,78,-2.02,147.27,82.54,6.29
Hobart,75,AU,1587333318,81,-42.88,147.33,51.8,6.93
Dikson,95,RU,1587333487,89,73.51,80.55,34.93,29.04
Tasiilaq,100,GL,1587333513,95,65.61,-37.64,32.0,5.82
Saldanha,4,ZA,1587333429,82,-33.01,17.94,59.0,10.29
Mount Isa,68,AU,1587333447,51,-20.73,139.5,60.8,8.23
New Norfolk,100,AU,1587333254,89,-42.78,147.06,50.0,5.37
Avarua,2,CK,1587333513,69,-21.21,-159.78,82.4,6.93
Busselton,79,AU,1587333514,60,-33.65,115.33,55.0,17.05
Mar del Plata,19,AR,1587333435,68,-38.0,-57.56,71.6,12.75
Hasaki,75,JP,1587333454,93,35.73,140.83,48.2,9.17
Fortuna,75,US,1587333514,76,40.6,-124.16,57.0,13.87
Dubbo,75,AU,1587333514,100,-32.25,148.62,48.2,4.7
Abu Dhabi,82,AE,1587333299,42,24.47,54.37,84.2,2.24
Batagay-Alyta,97,RU,1587333424,86,67.8,130.41,15.49,2.53
Ponta do Sol,26,PT,1587333515,60,32.67,-17.1,59.0,8.99
Airai,0,TL,1587333428,59,-8.93,125.41,59.32,2.3
Ushuaia,75,AR,1587333515,81,-54.8,-68.3,42.8,23.04
Isangel,75,VU,1587333515,83,-19.55,169.27,82.4,3.36
Constitución,81,CL,1587333479,52,-35.33,-72.42,64.09,17.76
Maridi,100,SS,1587333530,78,4.92,29.47,66.72,4.18
Erenhot,0,CN,1587333530,52,43.65,111.98,29.12,22.75
Krasnosel'kup,100,RU,1587333531,94,65.7,82.47,38.39,22.19
Okulovka,61,RU,1587333531,91,58.4,33.29,31.91,5.06
Kapoeta,100,SS,1587333531,40,4.77,33.59,76.5,4.23
Ambunti,90,PG,1587333531,95,-4.24,142.84,74.98,1.19
Autun,93,FR,1587333531,87,46.95,4.3,57.2,2.24
Challapata,13,BO,1587333531,11,-18.9,-66.77,53.15,3.09
Uyuni,31,BO,1587333314,9,-20.46,-66.83,56.91,6.24
Fukuechō,77,JP,1587333531,83,32.69,128.84,59.16,21.32
Dingle,78,PH,1587333532,86,11.0,122.67,79.23,9.95
Hamilton,90,US,1587333532,58,39.18,-84.53,57.2,8.05
Saint-Philippe,20,RE,1587333532,69,-21.36,55.77,73.4,8.05
Palmer,75,US,1587333532,29,42.16,-72.33,62.6,23.04
Arraial do Cabo,40,BR,1587333532,73,-22.97,-42.03,73.4,4.7
Alice Springs,2,AU,1587333533,27,-23.7,133.88,78.8,11.41
